country,indicator,year,value
FR,NY.GDP.MKTP.CD,2024,3160442622465.08
FR,NY.GDP.MKTP.CD,2023,3056250648138.29
FR,NY.GDP.MKTP.CD,2022,2794788137066.94
FR,NY.GDP.MKTP.CD,2021,2966433692008.09
FR,NY.GDP.MKTP.CD,2020,2647926055110.05
FR,NY.GDP.MKTP.CD,2019,2722793515171.76
FR,NY.GDP.MKTP.CD,2018,2781576320884.39
FR,NY.GDP.MKTP.CD,2017,2588868323334.71
FR,NY.GDP.MKTP.CD,2016,2470407619777.13
FR,NY.GDP.MKTP.CD,2015,2442483452642.5
FR,NY.GDP.MKTP.CD,2014,2861236112552.42
FR,NY.GDP.MKTP.CD,2013,2816077607875.26
FR,NY.GDP.MKTP.CD,2012,2683007095787.23
FR,NY.GDP.MKTP.CD,2011,2870408553990.28
FR,NY.GDP.MKTP.CD,2010,2646230027988.34
FR,NY.GDP.MKTP.CD,2009,2700075882518.98
FR,NY.GDP.MKTP.CD,2008,2926802941585.86
FR,NY.GDP.MKTP.CD,2007,2655816911866.56
FR,NY.GDP.MKTP.CD,2006,2317861544690.82
FR,NY.GDP.MKTP.CD,2005,2192146403028.17
FR,NY.GDP.MKTP.CD,2004,2109792297237.03
FR,NY.GDP.MKTP.CD,2003,1835095983049.09
FR,NY.GDP.MKTP.CD,2002,1492427756382.43
FR,NY.GDP.MKTP.CD,2001,1370376677298.86
FR,NY.GDP.MKTP.CD,2000,1360959069477.49
FR,NY.GDP.MKTP.CD,1999,1486915879701.93
FR,NY.GDP.MKTP.CD,1998,1496906382032.47
FR,NY.GDP.MKTP.CD,1997,1449392222971.45
FR,NY.GDP.MKTP.CD,1996,1598889216566.23
FR,NY.GDP.MKTP.CD,1995,1595219345511.89
FR,NY.GDP.MKTP.CD,1994,1385822778827.98
FR,NY.GDP.MKTP.CD,1993,1314383368079.69
FR,NY.GDP.MKTP.CD,1992,1389663073110.28
FR,NY.GDP.MKTP.CD,1991,1258961748633.88
FR,NY.GDP.MKTP.CD,1990,1257649439826.53
FR,NY.GDP.MKTP.CD,1989,1016742237302.08
FR,NY.GDP.MKTP.CD,1988,1010827662151.75
FR,NY.GDP.MKTP.CD,1987,926320855614.973
FR,NY.GDP.MKTP.CD,1986,764946585850.933
FR,NY.GDP.MKTP.CD,1985,547220981165.134
FR,NY.GDP.MKTP.CD,1984,525033325827.516
FR,NY.GDP.MKTP.CD,1983,553356312935.709
FR,NY.GDP.MKTP.CD,1982,578152310609.841
FR,NY.GDP.MKTP.CD,1981,609184791792.396
FR,NY.GDP.MKTP.CD,1980,694529183483.39
FR,NY.GDP.MKTP.CD,1979,608218624730.188
FR,NY.GDP.MKTP.CD,1978,501724418604.651
FR,NY.GDP.MKTP.CD,1977,406401711687.617
FR,NY.GDP.MKTP.CD,1976,368363152144.223
FR,NY.GDP.MKTP.CD,1975,357324307786.446
FR,NY.GDP.MKTP.CD,1974,282739225313.693
FR,NY.GDP.MKTP.CD,1973,261970536240.424
FR,NY.GDP.MKTP.CD,1972,201738881664.499
FR,NY.GDP.MKTP.CD,1971,164694210962.472
FR,NY.GDP.MKTP.CD,1970,147312861698.358
FR,NY.GDP.MKTP.CD,1969,140660914840.59
FR,NY.GDP.MKTP.CD,1968,128710572572.436
FR,NY.GDP.MKTP.CD,1967,118088635380.954
FR,NY.GDP.MKTP.CD,1966,109306730313.216
FR,NY.GDP.MKTP.CD,1965,100927668584.29
FR,NY.GDP.MKTP.CD,1964,93424179943.3453
FR,NY.GDP.MKTP.CD,1963,84227606649.8725
FR,NY.GDP.MKTP.CD,1962,75196980365.0325
FR,NY.GDP.MKTP.CD,1961,67158050215.0488
FR,NY.GDP.MKTP.CD,1960,61959085885.3427
