country_iso3,indicator,year,value
AFE,BN.CAB.XOKA.GD.ZS,2025,
AFE,BN.CAB.XOKA.GD.ZS,2024,
AFE,BN.CAB.XOKA.GD.ZS,2023,
AFE,BN.CAB.XOKA.GD.ZS,2022,
AFE,BN.CAB.XOKA.GD.ZS,2021,
AFE,BN.CAB.XOKA.GD.ZS,2020,
AFE,BN.CAB.XOKA.GD.ZS,2019,
AFE,BN.CAB.XOKA.GD.ZS,2018,
AFE,BN.CAB.XOKA.GD.ZS,2017,
AFE,BN.CAB.XOKA.GD.ZS,2016,
AFE,BN.CAB.XOKA.GD.ZS,2015,
AFE,BN.CAB.XOKA.GD.ZS,2014,
AFE,BN.CAB.XOKA.GD.ZS,2013,
AFE,BN.CAB.XOKA.GD.ZS,2012,
AFE,BN.CAB.XOKA.GD.ZS,2011,
AFE,BN.CAB.XOKA.GD.ZS,2010,
AFE,BN.CAB.XOKA.GD.ZS,2009,
AFE,BN.CAB.XOKA.GD.ZS,2008,
AFE,BN.CAB.XOKA.GD.ZS,2007,
AFE,BN.CAB.XOKA.GD.ZS,2006,
AFE,BN.CAB.XOKA.GD.ZS,2005,
AFE,BN.CAB.XOKA.GD.ZS,2004,
AFE,BN.CAB.XOKA.GD.ZS,2003,
AFE,BN.CAB.XOKA.GD.ZS,2002,
AFE,BN.CAB.XOKA.GD.ZS,2001,
AFE,BN.CAB.XOKA.GD.ZS,2000,
AFE,BN.CAB.XOKA.GD.ZS,1999,
AFE,BN.CAB.XOKA.GD.ZS,1998,
AFE,BN.CAB.XOKA.GD.ZS,1997,
AFE,BN.CAB.XOKA.GD.ZS,1996,
AFE,BN.CAB.XOKA.GD.ZS,1995,
AFE,BN.CAB.XOKA.GD.ZS,1994,
AFE,BN.CAB.XOKA.GD.ZS,1993,
AFE,BN.CAB.XOKA.GD.ZS,1992,
AFE,BN.CAB.XOKA.GD.ZS,1991,
AFE,BN.CAB.XOKA.GD.ZS,1990,
AFE,BN.CAB.XOKA.GD.ZS,1989,
AFE,BN.CAB.XOKA.GD.ZS,1988,
AFE,BN.CAB.XOKA.GD.ZS,1987,
AFE,BN.CAB.XOKA.GD.ZS,1986,
AFE,BN.CAB.XOKA.GD.ZS,1985,
AFE,BN.CAB.XOKA.GD.ZS,1984,
AFE,BN.CAB.XOKA.GD.ZS,1983,
AFE,BN.CAB.XOKA.GD.ZS,1982,
AFE,BN.CAB.XOKA.GD.ZS,1981,
AFE,BN.CAB.XOKA.GD.ZS,1980,
AFE,BN.CAB.XOKA.GD.ZS,1979,
AFE,BN.CAB.XOKA.GD.ZS,1978,
AFE,BN.CAB.XOKA.GD.ZS,1977,
AFE,BN.CAB.XOKA.GD.ZS,1976,
AFE,BN.CAB.XOKA.GD.ZS,1975,
AFE,BN.CAB.XOKA.GD.ZS,1974,
AFE,BN.CAB.XOKA.GD.ZS,1973,
AFE,BN.CAB.XOKA.GD.ZS,1972,
AFE,BN.CAB.XOKA.GD.ZS,1971,
AFE,BN.CAB.XOKA.GD.ZS,1970,
AFE,BN.CAB.XOKA.GD.ZS,1969,
AFE,BN.CAB.XOKA.GD.ZS,1968,
AFE,BN.CAB.XOKA.GD.ZS,1967,
AFE,BN.CAB.XOKA.GD.ZS,1966,
AFE,BN.CAB.XOKA.GD.ZS,1965,
AFE,BN.CAB.XOKA.GD.ZS,1964,
AFE,BN.CAB.XOKA.GD.ZS,1963,
AFE,BN.CAB.XOKA.GD.ZS,1962,
AFE,BN.CAB.XOKA.GD.ZS,1961,
AFE,BN.CAB.XOKA.GD.ZS,1960,
AFW,BN.CAB.XOKA.GD.ZS,2025,
AFW,BN.CAB.XOKA.GD.ZS,2024,
AFW,BN.CAB.XOKA.GD.ZS,2023,
AFW,BN.CAB.XOKA.GD.ZS,2022,
AFW,BN.CAB.XOKA.GD.ZS,2021,
AFW,BN.CAB.XOKA.GD.ZS,2020,
AFW,BN.CAB.XOKA.GD.ZS,2019,
AFW,BN.CAB.XOKA.GD.ZS,2018,
AFW,BN.CAB.XOKA.GD.ZS,2017,
AFW,BN.CAB.XOKA.GD.ZS,2016,
AFW,BN.CAB.XOKA.GD.ZS,2015,
AFW,BN.CAB.XOKA.GD.ZS,2014,
AFW,BN.CAB.XOKA.GD.ZS,2013,
AFW,BN.CAB.XOKA.GD.ZS,2012,
AFW,BN.CAB.XOKA.GD.ZS,2011,
AFW,BN.CAB.XOKA.GD.ZS,2010,
AFW,BN.CAB.XOKA.GD.ZS,2009,
AFW,BN.CAB.XOKA.GD.ZS,2008,
AFW,BN.CAB.XOKA.GD.ZS,2007,
AFW,BN.CAB.XOKA.GD.ZS,2006,
AFW,BN.CAB.XOKA.GD.ZS,2005,
AFW,BN.CAB.XOKA.GD.ZS,2004,
AFW,BN.CAB.XOKA.GD.ZS,2003,
AFW,BN.CAB.XOKA.GD.ZS,2002,
AFW,BN.CAB.XOKA.GD.ZS,2001,
AFW,BN.CAB.XOKA.GD.ZS,2000,
AFW,BN.CAB.XOKA.GD.ZS,1999,
AFW,BN.CAB.XOKA.GD.ZS,1998,
AFW,BN.CAB.XOKA.GD.ZS,1997,
AFW,BN.CAB.XOKA.GD.ZS,1996,
AFW,BN.CAB.XOKA.GD.ZS,1995,
AFW,BN.CAB.XOKA.GD.ZS,1994,
AFW,BN.CAB.XOKA.GD.ZS,1993,
AFW,BN.CAB.XOKA.GD.ZS,1992,
AFW,BN.CAB.XOKA.GD.ZS,1991,
AFW,BN.CAB.XOKA.GD.ZS,1990,
AFW,BN.CAB.XOKA.GD.ZS,1989,
AFW,BN.CAB.XOKA.GD.ZS,1988,
AFW,BN.CAB.XOKA.GD.ZS,1987,
AFW,BN.CAB.XOKA.GD.ZS,1986,
AFW,BN.CAB.XOKA.GD.ZS,1985,
AFW,BN.CAB.XOKA.GD.ZS,1984,
AFW,BN.CAB.XOKA.GD.ZS,1983,
AFW,BN.CAB.XOKA.GD.ZS,1982,
AFW,BN.CAB.XOKA.GD.ZS,1981,
AFW,BN.CAB.XOKA.GD.ZS,1980,
AFW,BN.CAB.XOKA.GD.ZS,1979,
AFW,BN.CAB.XOKA.GD.ZS,1978,
AFW,BN.CAB.XOKA.GD.ZS,1977,
AFW,BN.CAB.XOKA.GD.ZS,1976,
AFW,BN.CAB.XOKA.GD.ZS,1975,
AFW,BN.CAB.XOKA.GD.ZS,1974,
AFW,BN.CAB.XOKA.GD.ZS,1973,
AFW,BN.CAB.XOKA.GD.ZS,1972,
AFW,BN.CAB.XOKA.GD.ZS,1971,
AFW,BN.CAB.XOKA.GD.ZS,1970,
AFW,BN.CAB.XOKA.GD.ZS,1969,
AFW,BN.CAB.XOKA.GD.ZS,1968,
AFW,BN.CAB.XOKA.GD.ZS,1967,
AFW,BN.CAB.XOKA.GD.ZS,1966,
AFW,BN.CAB.XOKA.GD.ZS,1965,
AFW,BN.CAB.XOKA.GD.ZS,1964,
AFW,BN.CAB.XOKA.GD.ZS,1963,
AFW,BN.CAB.XOKA.GD.ZS,1962,
AFW,BN.CAB.XOKA.GD.ZS,1961,
AFW,BN.CAB.XOKA.GD.ZS,1960,
ARB,BN.CAB.XOKA.GD.ZS,2025,
ARB,BN.CAB.XOKA.GD.ZS,2024,
ARB,BN.CAB.XOKA.GD.ZS,2023,
ARB,BN.CAB.XOKA.GD.ZS,2022,
ARB,BN.CAB.XOKA.GD.ZS,2021,
ARB,BN.CAB.XOKA.GD.ZS,2020,
ARB,BN.CAB.XOKA.GD.ZS,2019,
ARB,BN.CAB.XOKA.GD.ZS,2018,
ARB,BN.CAB.XOKA.GD.ZS,2017,
ARB,BN.CAB.XOKA.GD.ZS,2016,
ARB,BN.CAB.XOKA.GD.ZS,2015,
ARB,BN.CAB.XOKA.GD.ZS,2014,
ARB,BN.CAB.XOKA.GD.ZS,2013,
ARB,BN.CAB.XOKA.GD.ZS,2012,
ARB,BN.CAB.XOKA.GD.ZS,2011,
ARB,BN.CAB.XOKA.GD.ZS,2010,
ARB,BN.CAB.XOKA.GD.ZS,2009,
ARB,BN.CAB.XOKA.GD.ZS,2008,
ARB,BN.CAB.XOKA.GD.ZS,2007,
ARB,BN.CAB.XOKA.GD.ZS,2006,
ARB,BN.CAB.XOKA.GD.ZS,2005,
ARB,BN.CAB.XOKA.GD.ZS,2004,
ARB,BN.CAB.XOKA.GD.ZS,2003,
ARB,BN.CAB.XOKA.GD.ZS,2002,
ARB,BN.CAB.XOKA.GD.ZS,2001,
ARB,BN.CAB.XOKA.GD.ZS,2000,
ARB,BN.CAB.XOKA.GD.ZS,1999,
ARB,BN.CAB.XOKA.GD.ZS,1998,
ARB,BN.CAB.XOKA.GD.ZS,1997,
ARB,BN.CAB.XOKA.GD.ZS,1996,
ARB,BN.CAB.XOKA.GD.ZS,1995,
ARB,BN.CAB.XOKA.GD.ZS,1994,
ARB,BN.CAB.XOKA.GD.ZS,1993,
ARB,BN.CAB.XOKA.GD.ZS,1992,
ARB,BN.CAB.XOKA.GD.ZS,1991,
ARB,BN.CAB.XOKA.GD.ZS,1990,
ARB,BN.CAB.XOKA.GD.ZS,1989,
ARB,BN.CAB.XOKA.GD.ZS,1988,
ARB,BN.CAB.XOKA.GD.ZS,1987,
ARB,BN.CAB.XOKA.GD.ZS,1986,
ARB,BN.CAB.XOKA.GD.ZS,1985,
ARB,BN.CAB.XOKA.GD.ZS,1984,
ARB,BN.CAB.XOKA.GD.ZS,1983,
ARB,BN.CAB.XOKA.GD.ZS,1982,
ARB,BN.CAB.XOKA.GD.ZS,1981,
ARB,BN.CAB.XOKA.GD.ZS,1980,
ARB,BN.CAB.XOKA.GD.ZS,1979,
ARB,BN.CAB.XOKA.GD.ZS,1978,
ARB,BN.CAB.XOKA.GD.ZS,1977,
ARB,BN.CAB.XOKA.GD.ZS,1976,
ARB,BN.CAB.XOKA.GD.ZS,1975,
ARB,BN.CAB.XOKA.GD.ZS,1974,
ARB,BN.CAB.XOKA.GD.ZS,1973,
ARB,BN.CAB.XOKA.GD.ZS,1972,
ARB,BN.CAB.XOKA.GD.ZS,1971,
ARB,BN.CAB.XOKA.GD.ZS,1970,
ARB,BN.CAB.XOKA.GD.ZS,1969,
ARB,BN.CAB.XOKA.GD.ZS,1968,
ARB,BN.CAB.XOKA.GD.ZS,1967,
ARB,BN.CAB.XOKA.GD.ZS,1966,
ARB,BN.CAB.XOKA.GD.ZS,1965,
ARB,BN.CAB.XOKA.GD.ZS,1964,
ARB,BN.CAB.XOKA.GD.ZS,1963,
ARB,BN.CAB.XOKA.GD.ZS,1962,
ARB,BN.CAB.XOKA.GD.ZS,1961,
ARB,BN.CAB.XOKA.GD.ZS,1960,
CSS,BN.CAB.XOKA.GD.ZS,2025,
CSS,BN.CAB.XOKA.GD.ZS,2024,
CSS,BN.CAB.XOKA.GD.ZS,2023,
CSS,BN.CAB.XOKA.GD.ZS,2022,
CSS,BN.CAB.XOKA.GD.ZS,2021,
CSS,BN.CAB.XOKA.GD.ZS,2020,
CSS,BN.CAB.XOKA.GD.ZS,2019,
CSS,BN.CAB.XOKA.GD.ZS,2018,
CSS,BN.CAB.XOKA.GD.ZS,2017,
CSS,BN.CAB.XOKA.GD.ZS,2016,
CSS,BN.CAB.XOKA.GD.ZS,2015,
CSS,BN.CAB.XOKA.GD.ZS,2014,
CSS,BN.CAB.XOKA.GD.ZS,2013,
CSS,BN.CAB.XOKA.GD.ZS,2012,
CSS,BN.CAB.XOKA.GD.ZS,2011,
CSS,BN.CAB.XOKA.GD.ZS,2010,
CSS,BN.CAB.XOKA.GD.ZS,2009,
CSS,BN.CAB.XOKA.GD.ZS,2008,
CSS,BN.CAB.XOKA.GD.ZS,2007,
CSS,BN.CAB.XOKA.GD.ZS,2006,
CSS,BN.CAB.XOKA.GD.ZS,2005,
