country_iso3,indicator,year,value
AFE,FP.CPI.TOTL.ZG,2025,
AFE,FP.CPI.TOTL.ZG,2024,4.48978854243448
AFE,FP.CPI.TOTL.ZG,2023,7.39918558080627
AFE,FP.CPI.TOTL.ZG,2022,10.8834775726018
AFE,FP.CPI.TOTL.ZG,2021,6.82472709282067
AFE,FP.CPI.TOTL.ZG,2020,5.19162942092851
AFE,FP.CPI.TOTL.ZG,2019,4.10285075461156
AFE,FP.CPI.TOTL.ZG,2018,4.6898064677633
AFE,FP.CPI.TOTL.ZG,2017,6.22137528933118
AFE,FP.CPI.TOTL.ZG,2016,6.44687722255584
AFE,FP.CPI.TOTL.ZG,2015,5.09856164363687
AFE,FP.CPI.TOTL.ZG,2014,5.52581923392517
AFE,FP.CPI.TOTL.ZG,2013,5.74883133553454
AFE,FP.CPI.TOTL.ZG,2012,9.15870843167905
AFE,FP.CPI.TOTL.ZG,2011,8.97120640995788
AFE,FP.CPI.TOTL.ZG,2010,5.53753791645676
AFE,FP.CPI.TOTL.ZG,2009,8.95421802392949
AFE,FP.CPI.TOTL.ZG,2008,12.5666446595157
AFE,FP.CPI.TOTL.ZG,2007,8.45077480635
AFE,FP.CPI.TOTL.ZG,2006,8.89816380214033
AFE,FP.CPI.TOTL.ZG,2005,8.55803802239778
AFE,FP.CPI.TOTL.ZG,2004,5.02342068616285
AFE,FP.CPI.TOTL.ZG,2003,7.44970014007366
AFE,FP.CPI.TOTL.ZG,2002,8.76375520313543
AFE,FP.CPI.TOTL.ZG,2001,5.84035398311557
AFE,FP.CPI.TOTL.ZG,2000,8.60148514851491
AFE,FP.CPI.TOTL.ZG,1999,7.81986477630862
AFE,FP.CPI.TOTL.ZG,1998,7.49525542305607
AFE,FP.CPI.TOTL.ZG,1997,10.2495987403066
AFE,FP.CPI.TOTL.ZG,1996,9.70658632526504
AFE,FP.CPI.TOTL.ZG,1995,12.2885912601426
AFE,FP.CPI.TOTL.ZG,1994,14.8528149833969
AFE,FP.CPI.TOTL.ZG,1993,13.1356607683724
AFE,FP.CPI.TOTL.ZG,1992,16.1676123963339
AFE,FP.CPI.TOTL.ZG,1991,17.6781002638523
AFE,FP.CPI.TOTL.ZG,1990,12.4579139789566
AFE,FP.CPI.TOTL.ZG,1989,12.5582020707012
AFE,FP.CPI.TOTL.ZG,1988,12.5222580655931
AFE,FP.CPI.TOTL.ZG,1987,12.5634432211069
AFE,FP.CPI.TOTL.ZG,1986,13.8919716455565
AFE,FP.CPI.TOTL.ZG,1985,13.0065664218827
AFE,FP.CPI.TOTL.ZG,1984,10.9838625715774
AFE,FP.CPI.TOTL.ZG,1983,11.5675243834069
AFE,FP.CPI.TOTL.ZG,1982,12.1399176954734
AFE,FP.CPI.TOTL.ZG,1981,14.4615910742106
AFE,FP.CPI.TOTL.ZG,1980,15.0665115372509
AFE,FP.CPI.TOTL.ZG,1979,15.0698498241015
AFE,FP.CPI.TOTL.ZG,1978,12.5268925146401
AFE,FP.CPI.TOTL.ZG,1977,14.2380554942681
AFE,FP.CPI.TOTL.ZG,1976,11.2164812938294
AFE,FP.CPI.TOTL.ZG,1975,15.2240989352891
AFE,FP.CPI.TOTL.ZG,1974,19.5983935742148
AFE,FP.CPI.TOTL.ZG,1973,
AFE,FP.CPI.TOTL.ZG,1972,
AFE,FP.CPI.TOTL.ZG,1971,
AFE,FP.CPI.TOTL.ZG,1970,
AFE,FP.CPI.TOTL.ZG,1969,
AFE,FP.CPI.TOTL.ZG,1968,
AFE,FP.CPI.TOTL.ZG,1967,
AFE,FP.CPI.TOTL.ZG,1966,
AFE,FP.CPI.TOTL.ZG,1965,
AFE,FP.CPI.TOTL.ZG,1964,
AFE,FP.CPI.TOTL.ZG,1963,
AFE,FP.CPI.TOTL.ZG,1962,
AFE,FP.CPI.TOTL.ZG,1961,
AFE,FP.CPI.TOTL.ZG,1960,
AFW,FP.CPI.TOTL.ZG,2025,
AFW,FP.CPI.TOTL.ZG,2024,3.60804426950566
AFW,FP.CPI.TOTL.ZG,2023,5.22116801324002
AFW,FP.CPI.TOTL.ZG,2022,7.94925143524016
AFW,FP.CPI.TOTL.ZG,2021,3.74556782333009
AFW,FP.CPI.TOTL.ZG,2020,2.49037783931949
AFW,FP.CPI.TOTL.ZG,2019,1.98309228487232
AFW,FP.CPI.TOTL.ZG,2018,1.78404994832044
AFW,FP.CPI.TOTL.ZG,2017,1.72548602374731
AFW,FP.CPI.TOTL.ZG,2016,1.48741550755546
AFW,FP.CPI.TOTL.ZG,2015,2.13081738058791
AFW,FP.CPI.TOTL.ZG,2014,1.76843582146224
AFW,FP.CPI.TOTL.ZG,2013,2.43920076104126
AFW,FP.CPI.TOTL.ZG,2012,4.57837463515948
AFW,FP.CPI.TOTL.ZG,2011,4.01869907534492
AFW,FP.CPI.TOTL.ZG,2010,1.78484420477113
AFW,FP.CPI.TOTL.ZG,2009,3.28244037589321
AFW,FP.CPI.TOTL.ZG,2008,8.45297623326755
AFW,FP.CPI.TOTL.ZG,2007,3.60736767984596
AFW,FP.CPI.TOTL.ZG,2006,4.41589984169561
AFW,FP.CPI.TOTL.ZG,2005,5.63163351357613
AFW,FP.CPI.TOTL.ZG,2004,0.694336305945758
AFW,FP.CPI.TOTL.ZG,2003,1.76090410099629
AFW,FP.CPI.TOTL.ZG,2002,3.18869330220589
AFW,FP.CPI.TOTL.ZG,2001,4.36152914007256
AFW,FP.CPI.TOTL.ZG,2000,2.53077516737997
AFW,FP.CPI.TOTL.ZG,1999,0.372266170311928
AFW,FP.CPI.TOTL.ZG,1998,4.47112543851099
AFW,FP.CPI.TOTL.ZG,1997,3.99714170439303
AFW,FP.CPI.TOTL.ZG,1996,4.91423972637201
AFW,FP.CPI.TOTL.ZG,1995,10.5632886691814
AFW,FP.CPI.TOTL.ZG,1994,31.8410168416385
AFW,FP.CPI.TOTL.ZG,1993,0.553455723541917
AFW,FP.CPI.TOTL.ZG,1992,-0.0629990064787035
AFW,FP.CPI.TOTL.ZG,1991,1.74188785932669
AFW,FP.CPI.TOTL.ZG,1990,1.05736139457209
AFW,FP.CPI.TOTL.ZG,1989,0.869287022608288
AFW,FP.CPI.TOTL.ZG,1988,2.52365930599391
AFW,FP.CPI.TOTL.ZG,1987,0.248788555354745
AFW,FP.CPI.TOTL.ZG,1986,5.95096499946618
AFW,FP.CPI.TOTL.ZG,1985,7.3549257759783
AFW,FP.CPI.TOTL.ZG,1984,11.2499999999997
AFW,FP.CPI.TOTL.ZG,1983,10.6719367588934
AFW,FP.CPI.TOTL.ZG,1982,12.0597652081337
AFW,FP.CPI.TOTL.ZG,1981,8.79921083308777
AFW,FP.CPI.TOTL.ZG,1980,
AFW,FP.CPI.TOTL.ZG,1979,
AFW,FP.CPI.TOTL.ZG,1978,
AFW,FP.CPI.TOTL.ZG,1977,
AFW,FP.CPI.TOTL.ZG,1976,
AFW,FP.CPI.TOTL.ZG,1975,
AFW,FP.CPI.TOTL.ZG,1974,
AFW,FP.CPI.TOTL.ZG,1973,
AFW,FP.CPI.TOTL.ZG,1972,
AFW,FP.CPI.TOTL.ZG,1971,
AFW,FP.CPI.TOTL.ZG,1970,
AFW,FP.CPI.TOTL.ZG,1969,
AFW,FP.CPI.TOTL.ZG,1968,
AFW,FP.CPI.TOTL.ZG,1967,
AFW,FP.CPI.TOTL.ZG,1966,
AFW,FP.CPI.TOTL.ZG,1965,
AFW,FP.CPI.TOTL.ZG,1964,
AFW,FP.CPI.TOTL.ZG,1963,
AFW,FP.CPI.TOTL.ZG,1962,
AFW,FP.CPI.TOTL.ZG,1961,
AFW,FP.CPI.TOTL.ZG,1960,
ARB,FP.CPI.TOTL.ZG,2025,
ARB,FP.CPI.TOTL.ZG,2024,2.10135577419612
ARB,FP.CPI.TOTL.ZG,2023,4.00025877060147
ARB,FP.CPI.TOTL.ZG,2022,5.17980847967061
ARB,FP.CPI.TOTL.ZG,2021,2.86833027751019
ARB,FP.CPI.TOTL.ZG,2020,1.44703656998741
ARB,FP.CPI.TOTL.ZG,2019,1.33601568147656
ARB,FP.CPI.TOTL.ZG,2018,2.30874696703938
ARB,FP.CPI.TOTL.ZG,2017,2.06932928164424
ARB,FP.CPI.TOTL.ZG,2016,2.36503123461077
ARB,FP.CPI.TOTL.ZG,2015,1.83135233156369
ARB,FP.CPI.TOTL.ZG,2014,2.89947905006057
ARB,FP.CPI.TOTL.ZG,2013,3.25423910998847
ARB,FP.CPI.TOTL.ZG,2012,4.6118443220664
ARB,FP.CPI.TOTL.ZG,2011,4.7531638888563
ARB,FP.CPI.TOTL.ZG,2010,3.91106195534028
ARB,FP.CPI.TOTL.ZG,2009,2.92089711805367
ARB,FP.CPI.TOTL.ZG,2008,11.2706652380848
ARB,FP.CPI.TOTL.ZG,2007,4.74390639021648
ARB,FP.CPI.TOTL.ZG,2006,3.54498591605033
ARB,FP.CPI.TOTL.ZG,2005,3.49368534619531
ARB,FP.CPI.TOTL.ZG,2004,3.63228004956625
ARB,FP.CPI.TOTL.ZG,2003,2.71259247474352
ARB,FP.CPI.TOTL.ZG,2002,1.83299389002049
