country_iso3,indicator,year,value
AFE,NY.GDP.PCAP.CD,2025,
AFE,NY.GDP.PCAP.CD,2024,1615.39635562849
AFE,NY.GDP.PCAP.CD,2023,1571.44918918981
AFE,NY.GDP.PCAP.CD,2022,1679.32762166466
AFE,NY.GDP.PCAP.CD,2021,1562.41617477738
AFE,NY.GDP.PCAP.CD,2020,1351.59166910879
AFE,NY.GDP.PCAP.CD,2019,1507.08559963484
AFE,NY.GDP.PCAP.CD,2018,1552.07372194919
AFE,NY.GDP.PCAP.CD,2017,1528.10422421284
AFE,NY.GDP.PCAP.CD,2016,1334.47050032928
AFE,NY.GDP.PCAP.CD,2015,1498.8752400759
AFE,NY.GDP.PCAP.CD,2014,1690.16679245944
AFE,NY.GDP.PCAP.CD,2013,1706.02274412621
AFE,NY.GDP.PCAP.CD,2012,1732.03802145335
AFE,NY.GDP.PCAP.CD,2011,1761.98926096159
AFE,NY.GDP.PCAP.CD,2010,1628.90524793139
AFE,NY.GDP.PCAP.CD,2009,1408.75346659428
AFE,NY.GDP.PCAP.CD,2008,1447.54575437552
AFE,NY.GDP.PCAP.CD,2007,1381.5525968929
AFE,NY.GDP.PCAP.CD,2006,1235.26660811771
AFE,NY.GDP.PCAP.CD,2005,1126.2973233912
AFE,NY.GDP.PCAP.CD,2004,989.015463629244
AFE,NY.GDP.PCAP.CD,2003,815.432296267735
AFE,NY.GDP.PCAP.CD,2002,630.512327648462
AFE,NY.GDP.PCAP.CD,2001,625.82781544115
AFE,NY.GDP.PCAP.CD,2000,706.727260967009
AFE,NY.GDP.PCAP.CD,1999,670.42421254121
AFE,NY.GDP.PCAP.CD,1998,697.079415310028
AFE,NY.GDP.PCAP.CD,1997,767.39941150858
AFE,NY.GDP.PCAP.CD,1996,746.787334695357
AFE,NY.GDP.PCAP.CD,1995,766.522931015445
AFE,NY.GDP.PCAP.CD,1994,700.77212550809
AFE,NY.GDP.PCAP.CD,1993,709.323533711482
AFE,NY.GDP.PCAP.CD,1992,732.910915212266
AFE,NY.GDP.PCAP.CD,1991,864.174086040692
AFE,NY.GDP.PCAP.CD,1990,822.402998906313
AFE,NY.GDP.PCAP.CD,1989,728.243318574474
AFE,NY.GDP.PCAP.CD,1988,704.142065764844
AFE,NY.GDP.PCAP.CD,1987,664.791812942192
AFE,NY.GDP.PCAP.CD,1986,578.317451651662
AFE,NY.GDP.PCAP.CD,1985,554.22129591426
AFE,NY.GDP.PCAP.CD,1984,650.346841439623
AFE,NY.GDP.PCAP.CD,1983,732.345461087142
AFE,NY.GDP.PCAP.CD,1982,725.547511093596
AFE,NY.GDP.PCAP.CD,1981,777.627959568645
AFE,NY.GDP.PCAP.CD,1980,773.301205346988
AFE,NY.GDP.PCAP.CD,1979,634.448116130271
AFE,NY.GDP.PCAP.CD,1978,571.617317230818
AFE,NY.GDP.PCAP.CD,1977,518.358684720575
AFE,NY.GDP.PCAP.CD,1976,468.774521811486
AFE,NY.GDP.PCAP.CD,1975,479.078797946454
AFE,NY.GDP.PCAP.CD,1974,463.468775136049
AFE,NY.GDP.PCAP.CD,1973,389.729024099655
AFE,NY.GDP.PCAP.CD,1972,311.465053421845
AFE,NY.GDP.PCAP.CD,1971,294.814162052789
AFE,NY.GDP.PCAP.CD,1970,276.732924213049
AFE,NY.GDP.PCAP.CD,1969,281.578893708839
AFE,NY.GDP.PCAP.CD,1968,257.143823139725
AFE,NY.GDP.PCAP.CD,1967,243.773592909361
AFE,NY.GDP.PCAP.CD,1966,240.911793947474
AFE,NY.GDP.PCAP.CD,1965,226.836134615766
AFE,NY.GDP.PCAP.CD,1964,208.962717137873
AFE,NY.GDP.PCAP.CD,1963,225.400079422489
AFE,NY.GDP.PCAP.CD,1962,197.367547013038
AFE,NY.GDP.PCAP.CD,1961,186.90905320299
AFE,NY.GDP.PCAP.CD,1960,186.089204223988
AFW,NY.GDP.PCAP.CD,2025,
AFW,NY.GDP.PCAP.CD,2024,1411.33702938476
AFW,NY.GDP.PCAP.CD,2023,1841.85506354867
AFW,NY.GDP.PCAP.CD,2022,2138.47315259913
AFW,NY.GDP.PCAP.CD,2021,2112.79407637079
AFW,NY.GDP.PCAP.CD,2020,2030.86165860293
AFW,NY.GDP.PCAP.CD,2019,2216.38505520833
AFW,NY.GDP.PCAP.CD,2018,1720.14009242722
AFW,NY.GDP.PCAP.CD,2017,1574.23056437855
AFW,NY.GDP.PCAP.CD,2016,1630.03943895258
AFW,NY.GDP.PCAP.CD,2015,1860.72768628324
AFW,NY.GDP.PCAP.CD,2014,2221.35033761012
AFW,NY.GDP.PCAP.CD,2013,2131.60609132899
AFW,NY.GDP.PCAP.CD,2012,1941.11824321812
AFW,NY.GDP.PCAP.CD,2011,1844.05436728177
AFW,NY.GDP.PCAP.CD,2010,1662.63365844147
AFW,NY.GDP.PCAP.CD,2009,1453.4952836253
AFW,NY.GDP.PCAP.CD,2008,1666.52048270501
AFW,NY.GDP.PCAP.CD,2007,1405.88018847409
AFW,NY.GDP.PCAP.CD,2006,1234.64185574403
AFW,NY.GDP.PCAP.CD,2005,999.770023047319
AFW,NY.GDP.PCAP.CD,2004,838.213391665852
AFW,NY.GDP.PCAP.CD,2003,697.481256337088
AFW,NY.GDP.PCAP.CD,2002,619.337335030759
AFW,NY.GDP.PCAP.CD,2001,532.972787221754
AFW,NY.GDP.PCAP.CD,2000,518.969226054683
AFW,NY.GDP.PCAP.CD,1999,523.797280235566
AFW,NY.GDP.PCAP.CD,1998,1141.48665070696
AFW,NY.GDP.PCAP.CD,1997,1091.83152927104
AFW,NY.GDP.PCAP.CD,1996,1069.59024047614
AFW,NY.GDP.PCAP.CD,1995,866.731606283751
AFW,NY.GDP.PCAP.CD,1994,580.008123493952
AFW,NY.GDP.PCAP.CD,1993,574.472938901996
AFW,NY.GDP.PCAP.CD,1992,567.153365168022
AFW,NY.GDP.PCAP.CD,1991,607.84041379997
AFW,NY.GDP.PCAP.CD,1990,593.024667183284
AFW,NY.GDP.PCAP.CD,1989,512.4777353649
AFW,NY.GDP.PCAP.CD,1988,563.117147218986
AFW,NY.GDP.PCAP.CD,1987,583.317520182878
AFW,NY.GDP.PCAP.CD,1986,582.885075620736
AFW,NY.GDP.PCAP.CD,1985,754.905547330188
AFW,NY.GDP.PCAP.CD,1984,738.545691276266
AFW,NY.GDP.PCAP.CD,1983,873.979406766518
AFW,NY.GDP.PCAP.CD,1982,1164.18848757408
AFW,NY.GDP.PCAP.CD,1981,1328.79368820509
AFW,NY.GDP.PCAP.CD,1980,763.011987564749
AFW,NY.GDP.PCAP.CD,1979,624.870706504666
AFW,NY.GDP.PCAP.CD,1978,523.781318335365
AFW,NY.GDP.PCAP.CD,1977,490.839576834053
AFW,NY.GDP.PCAP.CD,1976,480.447260139767
AFW,NY.GDP.PCAP.CD,1975,413.36616996255
AFW,NY.GDP.PCAP.CD,1974,368.294725144754
AFW,NY.GDP.PCAP.CD,1973,280.643967375144
AFW,NY.GDP.PCAP.CD,1972,230.068904176407
AFW,NY.GDP.PCAP.CD,1971,195.859987259659
AFW,NY.GDP.PCAP.CD,1970,218.672140995183
AFW,NY.GDP.PCAP.CD,1969,161.917968321991
AFW,NY.GDP.PCAP.CD,1968,146.186183137742
AFW,NY.GDP.PCAP.CD,1967,144.94080398911
AFW,NY.GDP.PCAP.CD,1966,162.107340296637
AFW,NY.GDP.PCAP.CD,1965,155.561896577631
AFW,NY.GDP.PCAP.CD,1964,148.545883334804
AFW,NY.GDP.PCAP.CD,1963,139.004980086033
AFW,NY.GDP.PCAP.CD,1962,133.823783489337
AFW,NY.GDP.PCAP.CD,1961,127.451039943698
AFW,NY.GDP.PCAP.CD,1960,121.936832429715
ARB,NY.GDP.PCAP.CD,2025,
ARB,NY.GDP.PCAP.CD,2024,7583.81170078145
ARB,NY.GDP.PCAP.CD,2023,7513.89907880749
ARB,NY.GDP.PCAP.CD,2022,7950.35581975672
ARB,NY.GDP.PCAP.CD,2021,6697.41498492196
ARB,NY.GDP.PCAP.CD,2020,5739.41283580539
ARB,NY.GDP.PCAP.CD,2019,6674.34224402621
ARB,NY.GDP.PCAP.CD,2018,6699.18058175457
ARB,NY.GDP.PCAP.CD,2017,6096.72395041636
ARB,NY.GDP.PCAP.CD,2016,6042.19675439671
ARB,NY.GDP.PCAP.CD,2015,6290.55879501691
ARB,NY.GDP.PCAP.CD,2014,7338.35092727915
ARB,NY.GDP.PCAP.CD,2013,7376.02829575498
ARB,NY.GDP.PCAP.CD,2012,7384.10682814613
ARB,NY.GDP.PCAP.CD,2011,6915.82768123695
ARB,NY.GDP.PCAP.CD,2010,5944.95217290432
ARB,NY.GDP.PCAP.CD,2009,5134.45006055159
ARB,NY.GDP.PCAP.CD,2008,6091.93206445672
ARB,NY.GDP.PCAP.CD,2007,4940.70226511719
ARB,NY.GDP.PCAP.CD,2006,4355.05756933724
ARB,NY.GDP.PCAP.CD,2005,3750.69825886818
ARB,NY.GDP.PCAP.CD,2004,3133.70187873975
ARB,NY.GDP.PCAP.CD,2003,2696.67212547749
ARB,NY.GDP.PCAP.CD,2002,2483.11187485029
ARB,NY.GDP.PCAP.CD,2001,2536.69232600737
ARB,NY.GDP.PCAP.CD,2000,2664.12520122649
ARB,NY.GDP.PCAP.CD,1999,2378.91283321485
ARB,NY.GDP.PCAP.CD,1998,2192.5892782815
ARB,NY.GDP.PCAP.CD,1997,2305.60995032747
ARB,NY.GDP.PCAP.CD,1996,2193.85960692838
ARB,NY.GDP.PCAP.CD,1995,2080.99829425308
ARB,NY.GDP.PCAP.CD,1994,2018.66801750107
ARB,NY.GDP.PCAP.CD,1993,1987.75290921938
ARB,NY.GDP.PCAP.CD,1992,1996.2882370158
ARB,NY.GDP.PCAP.CD,1991,2048.70631001886
ARB,NY.GDP.PCAP.CD,1990,2875.1308363764
ARB,NY.GDP.PCAP.CD,1989,2117.69374656993
ARB,NY.GDP.PCAP.CD,1988,2041.96156254739
ARB,NY.GDP.PCAP.CD,1987,2108.46610373939
ARB,NY.GDP.PCAP.CD,1986,2042.4786028706
ARB,NY.GDP.PCAP.CD,1985,2247.904844675
ARB,NY.GDP.PCAP.CD,1984,2357.29657111126
ARB,NY.GDP.PCAP.CD,1983,2417.3540635347
ARB,NY.GDP.PCAP.CD,1982,2640.69651258477
ARB,NY.GDP.PCAP.CD,1981,2911.11299721778
ARB,NY.GDP.PCAP.CD,1980,2954.24923103987
ARB,NY.GDP.PCAP.CD,1979,2251.65848258375
ARB,NY.GDP.PCAP.CD,1978,1728.32273624459
ARB,NY.GDP.PCAP.CD,1977,1630.47022408811
ARB,NY.GDP.PCAP.CD,1976,1458.24274468218
ARB,NY.GDP.PCAP.CD,1975,1205.55544629845
ARB,NY.GDP.PCAP.CD,1974,1125.04299484851
ARB,NY.GDP.PCAP.CD,1973,602.507544309351
ARB,NY.GDP.PCAP.CD,1972,470.227432505887
ARB,NY.GDP.PCAP.CD,1971,402.822310389485
ARB,NY.GDP.PCAP.CD,1970,357.718966442961
ARB,NY.GDP.PCAP.CD,1969,329.453730138284
ARB,NY.GDP.PCAP.CD,1968,307.557625918434
ARB,NY.GDP.PCAP.CD,1967,276.951727070344
ARB,NY.GDP.PCAP.CD,1966,263.968712840055
ARB,NY.GDP.PCAP.CD,1965,256.197488255539
ARB,NY.GDP.PCAP.CD,1964,243.913947637965
ARB,NY.GDP.PCAP.CD,1963,225.815920363838
