country_iso3,indicator,year,value
AFE,SL.UEM.TOTL.ZS,2025,7.53923442390472
AFE,SL.UEM.TOTL.ZS,2024,7.57169749274654
AFE,SL.UEM.TOTL.ZS,2023,7.67654773372157
AFE,SL.UEM.TOTL.ZS,2022,7.86947018999245
AFE,SL.UEM.TOTL.ZS,2021,8.40741154700022
AFE,SL.UEM.TOTL.ZS,2020,7.97430164130982
AFE,SL.UEM.TOTL.ZS,2019,7.45910636823544
AFE,SL.UEM.TOTL.ZS,2018,7.24484282680542
AFE,SL.UEM.TOTL.ZS,2017,7.21491501896869
AFE,SL.UEM.TOTL.ZS,2016,7.07442880999326
AFE,SL.UEM.TOTL.ZS,2015,6.9309412585873
AFE,SL.UEM.TOTL.ZS,2014,6.86242857576034
AFE,SL.UEM.TOTL.ZS,2013,6.88972223038428
AFE,SL.UEM.TOTL.ZS,2012,7.10873740350119
AFE,SL.UEM.TOTL.ZS,2011,7.303350943492
AFE,SL.UEM.TOTL.ZS,2010,7.33948885318777
AFE,SL.UEM.TOTL.ZS,2009,7.0293349336202
AFE,SL.UEM.TOTL.ZS,2008,6.95926232871186
AFE,SL.UEM.TOTL.ZS,2007,6.98058891496815
AFE,SL.UEM.TOTL.ZS,2006,7.03560059961336
AFE,SL.UEM.TOTL.ZS,2005,7.10041371887931
AFE,SL.UEM.TOTL.ZS,2004,7.27852246959678
AFE,SL.UEM.TOTL.ZS,2003,7.4720424200925
AFE,SL.UEM.TOTL.ZS,2002,7.51149338877195
AFE,SL.UEM.TOTL.ZS,2001,7.55388452430262
AFE,SL.UEM.TOTL.ZS,2000,7.66876829683374
AFE,SL.UEM.TOTL.ZS,1999,7.72993010885893
AFE,SL.UEM.TOTL.ZS,1998,7.68263780767572
AFE,SL.UEM.TOTL.ZS,1997,7.64190636706094
AFE,SL.UEM.TOTL.ZS,1996,7.6816226939442
AFE,SL.UEM.TOTL.ZS,1995,7.77389399169686
AFE,SL.UEM.TOTL.ZS,1994,8.02210049864685
AFE,SL.UEM.TOTL.ZS,1993,8.15590989808314
AFE,SL.UEM.TOTL.ZS,1992,8.15827337351447
AFE,SL.UEM.TOTL.ZS,1991,8.05080898877577
AFE,SL.UEM.TOTL.ZS,1990,
AFE,SL.UEM.TOTL.ZS,1989,
AFE,SL.UEM.TOTL.ZS,1988,
AFE,SL.UEM.TOTL.ZS,1987,
AFE,SL.UEM.TOTL.ZS,1986,
AFE,SL.UEM.TOTL.ZS,1985,
AFE,SL.UEM.TOTL.ZS,1984,
AFE,SL.UEM.TOTL.ZS,1983,
AFE,SL.UEM.TOTL.ZS,1982,
AFE,SL.UEM.TOTL.ZS,1981,
AFE,SL.UEM.TOTL.ZS,1980,
AFE,SL.UEM.TOTL.ZS,1979,
AFE,SL.UEM.TOTL.ZS,1978,
AFE,SL.UEM.TOTL.ZS,1977,
AFE,SL.UEM.TOTL.ZS,1976,
AFE,SL.UEM.TOTL.ZS,1975,
AFE,SL.UEM.TOTL.ZS,1974,
AFE,SL.UEM.TOTL.ZS,1973,
AFE,SL.UEM.TOTL.ZS,1972,
AFE,SL.UEM.TOTL.ZS,1971,
AFE,SL.UEM.TOTL.ZS,1970,
AFE,SL.UEM.TOTL.ZS,1969,
AFE,SL.UEM.TOTL.ZS,1968,
AFE,SL.UEM.TOTL.ZS,1967,
AFE,SL.UEM.TOTL.ZS,1966,
AFE,SL.UEM.TOTL.ZS,1965,
AFE,SL.UEM.TOTL.ZS,1964,
AFE,SL.UEM.TOTL.ZS,1963,
AFE,SL.UEM.TOTL.ZS,1962,
AFE,SL.UEM.TOTL.ZS,1961,
AFE,SL.UEM.TOTL.ZS,1960,
AFW,SL.UEM.TOTL.ZS,2025,3.19055229252225
AFW,SL.UEM.TOTL.ZS,2024,3.17242064214562
AFW,SL.UEM.TOTL.ZS,2023,3.20080093275133
AFW,SL.UEM.TOTL.ZS,2022,3.59335356570127
AFW,SL.UEM.TOTL.ZS,2021,4.66663403105227
AFW,SL.UEM.TOTL.ZS,2020,4.79531801163781
AFW,SL.UEM.TOTL.ZS,2019,4.39076373818366
AFW,SL.UEM.TOTL.ZS,2018,4.33437713943307
AFW,SL.UEM.TOTL.ZS,2017,4.28399591922403
AFW,SL.UEM.TOTL.ZS,2016,4.16758013639496
AFW,SL.UEM.TOTL.ZS,2015,4.17014290578818
