country_iso3,indicator,year,value
AFE,NY.GDP.MKTP.CD,2024,1242693542929.85
AFE,NY.GDP.MKTP.CD,2023,1179359054880.45
AFE,NY.GDP.MKTP.CD,2022,1228967879390.01
AFE,NY.GDP.MKTP.CD,2021,1114144799994.21
AFE,NY.GDP.MKTP.CD,2020,938607563405.087
AFE,NY.GDP.MKTP.CD,2019,1018714795912.35
AFE,NY.GDP.MKTP.CD,2018,1020955778298.17
AFE,NY.GDP.MKTP.CD,2017,978076465866.452
AFE,NY.GDP.MKTP.CD,2016,831868076442.431
AFE,NY.GDP.MKTP.CD,2015,910002035578.038
AFE,NY.GDP.MKTP.CD,2014,998836162271.296
AFE,NY.GDP.MKTP.CD,2013,981308886976.783
AFE,NY.GDP.MKTP.CD,2012,969265729636.028
AFE,NY.GDP.MKTP.CD,2011,959822476083.878
AFE,NY.GDP.MKTP.CD,2010,863822114606.332
AFE,NY.GDP.MKTP.CD,2009,726921646144.603
AFE,NY.GDP.MKTP.CD,2008,726770401376.729
AFE,NY.GDP.MKTP.CD,2007,674999944547.619
AFE,NY.GDP.MKTP.CD,2006,587500469826.421
AFE,NY.GDP.MKTP.CD,2005,521561976778.096
AFE,NY.GDP.MKTP.CD,2004,445974808500.088
AFE,NY.GDP.MKTP.CD,2003,358116081062.427
AFE,NY.GDP.MKTP.CD,2002,269746009737.979
AFE,NY.GDP.MKTP.CD,2001,260849957489.123
AFE,NY.GDP.MKTP.CD,2000,287041984552.036
AFE,NY.GDP.MKTP.CD,1999,265321007618.974
AFE,NY.GDP.MKTP.CD,1998,268728127688.21
AFE,NY.GDP.MKTP.CD,1997,288270699674.414
AFE,NY.GDP.MKTP.CD,1996,273427612467.252
AFE,NY.GDP.MKTP.CD,1995,273327034187.587
AFE,NY.GDP.MKTP.CD,1994,243477534983.306
AFE,NY.GDP.MKTP.CD,1993,239981176638.05
AFE,NY.GDP.MKTP.CD,1992,241188307967.9
AFE,NY.GDP.MKTP.CD,1991,276918502950.348
AFE,NY.GDP.MKTP.CD,1990,256383050159.487
AFE,NY.GDP.MKTP.CD,1989,220613390803.074
AFE,NY.GDP.MKTP.CD,1988,207368870172.406
AFE,NY.GDP.MKTP.CD,1987,190175229570.901
AFE,NY.GDP.MKTP.CD,1986,160553515127.741
AFE,NY.GDP.MKTP.CD,1985,149335153752.165
AFE,NY.GDP.MKTP.CD,1984,170038515839.183
AFE,NY.GDP.MKTP.CD,1983,185755503030.119
AFE,NY.GDP.MKTP.CD,1982,178355547527.525
AFE,NY.GDP.MKTP.CD,1981,185108969364.767
AFE,NY.GDP.MKTP.CD,1980,178472295521.021
AFE,NY.GDP.MKTP.CD,1979,142099959764.832
AFE,NY.GDP.MKTP.CD,1978,124083421003.115
