country_iso3,indicator,year,value
ABW,BN.CAB.XOKA.GD.ZS,1986,-4.60055096418731
ABW,BN.CAB.XOKA.GD.ZS,1986,-4.60055096418731
ABW,BN.CAB.XOKA.GD.ZS,1987,-4.62772050400916
ABW,BN.CAB.XOKA.GD.ZS,1987,-4.62772050400916
ABW,BN.CAB.XOKA.GD.ZS,1988,-7.4250936329588
ABW,BN.CAB.XOKA.GD.ZS,1988,-7.4250936329588
ABW,BN.CAB.XOKA.GD.ZS,1989,-6.714859437751
ABW,BN.CAB.XOKA.GD.ZS,1989,-6.714859437751
ABW,BN.CAB.XOKA.GD.ZS,1990,-20.6793279766252
ABW,BN.CAB.XOKA.GD.ZS,1990,-20.6793279766252
ABW,BN.CAB.XOKA.GD.ZS,1991,-24.023062139654
ABW,BN.CAB.XOKA.GD.ZS,1991,-24.023062139654
ABW,BN.CAB.XOKA.GD.ZS,1992,4.56876456876456
ABW,BN.CAB.XOKA.GD.ZS,1992,4.56876456876456
ABW,BN.CAB.XOKA.GD.ZS,1993,3.85250128932439
ABW,BN.CAB.XOKA.GD.ZS,1993,3.85250128932439
ABW,BN.CAB.XOKA.GD.ZS,1994,6.5067264573991
ABW,BN.CAB.XOKA.GD.ZS,1994,6.5067264573991
ABW,BN.CAB.XOKA.GD.ZS,1995,-0.0211505922165815
ABW,BN.CAB.XOKA.GD.ZS,1995,-0.0211505922165815
ABW,BN.CAB.XOKA.GD.ZS,1996,-5.0080971659919
ABW,BN.CAB.XOKA.GD.ZS,1996,-5.0080971659919
ABW,BN.CAB.XOKA.GD.ZS,1997,-12.7826404084609
ABW,BN.CAB.XOKA.GD.ZS,1997,-12.7826404084609
ABW,BN.CAB.XOKA.GD.ZS,1998,-1.12713854411271
ABW,BN.CAB.XOKA.GD.ZS,1998,-1.12713854411271
ABW,BN.CAB.XOKA.GD.ZS,1999,-25.2778858625162
ABW,BN.CAB.XOKA.GD.ZS,1999,-25.2778858625162
ABW,BN.CAB.XOKA.GD.ZS,2000,11.0568722640362
ABW,BN.CAB.XOKA.GD.ZS,2000,11.0568722640362
ABW,BN.CAB.XOKA.GD.ZS,2001,16.2808742441801
ABW,BN.CAB.XOKA.GD.ZS,2001,16.2808742441801
ABW,BN.CAB.XOKA.GD.ZS,2002,-17.3434518893983
ABW,BN.CAB.XOKA.GD.ZS,2002,-17.3434518893983
ABW,BN.CAB.XOKA.GD.ZS,2003,-8.09902267310928
ABW,BN.CAB.XOKA.GD.ZS,2003,-8.09902267310928
ABW,BN.CAB.XOKA.GD.ZS,2004,12.0136853291022
ABW,BN.CAB.XOKA.GD.ZS,2004,12.0136853291022
ABW,BN.CAB.XOKA.GD.ZS,2005,4.44757292760025
ABW,BN.CAB.XOKA.GD.ZS,2005,4.44757292760025
ABW,BN.CAB.XOKA.GD.ZS,2006,12.5742113280132
ABW,BN.CAB.XOKA.GD.ZS,2006,12.5742113280132
ABW,BN.CAB.XOKA.GD.ZS,2007,9.64536035842434
ABW,BN.CAB.XOKA.GD.ZS,2007,9.64536035842434
ABW,BN.CAB.XOKA.GD.ZS,2008,0.0039300343838726
ABW,BN.CAB.XOKA.GD.ZS,2008,0.0039300343838726
ABW,BN.CAB.XOKA.GD.ZS,2009,6.72239127248544
ABW,BN.CAB.XOKA.GD.ZS,2009,6.72239127248544
ABW,BN.CAB.XOKA.GD.ZS,2010,-18.7525373189382
ABW,BN.CAB.XOKA.GD.ZS,2010,-18.7525373189382
ABW,BN.CAB.XOKA.GD.ZS,2011,-9.8776559966521
ABW,BN.CAB.XOKA.GD.ZS,2011,-9.8776559966521
ABW,BN.CAB.XOKA.GD.ZS,2012,3.47345127544661
ABW,BN.CAB.XOKA.GD.ZS,2012,3.47345127544661
ABW,BN.CAB.XOKA.GD.ZS,2013,-11.813208837986
ABW,BN.CAB.XOKA.GD.ZS,2013,-11.813208837986
ABW,BN.CAB.XOKA.GD.ZS,2014,-4.65857687581843
ABW,BN.CAB.XOKA.GD.ZS,2014,-4.65857687581843
ABW,BN.CAB.XOKA.GD.ZS,2015,3.99414243924537
ABW,BN.CAB.XOKA.GD.ZS,2015,3.99414243924537
ABW,BN.CAB.XOKA.GD.ZS,2016,4.7317741972835
ABW,BN.CAB.XOKA.GD.ZS,2016,4.7317741972835
ABW,BN.CAB.XOKA.GD.ZS,2017,1.1197958543778
ABW,BN.CAB.XOKA.GD.ZS,2017,1.1197958543778
ABW,BN.CAB.XOKA.GD.ZS,2018,-0.59136646769686
ABW,BN.CAB.XOKA.GD.ZS,2018,-0.59136646769686
ABW,BN.CAB.XOKA.GD.ZS,2019,2.53380248998849
ABW,BN.CAB.XOKA.GD.ZS,2019,2.53380248998849
ABW,BN.CAB.XOKA.GD.ZS,2020,-12.8046064501285
ABW,BN.CAB.XOKA.GD.ZS,2020,-12.8046064501285
ABW,BN.CAB.XOKA.GD.ZS,2021,2.75111908453426
ABW,BN.CAB.XOKA.GD.ZS,2021,2.75111908453426
ABW,BN.CAB.XOKA.GD.ZS,2022,6.93602302823432
ABW,BN.CAB.XOKA.GD.ZS,2022,6.93602302823432
ABW,BN.CAB.XOKA.GD.ZS,2023,5.07202388667267
ABW,BN.CAB.XOKA.GD.ZS,2023,5.07202388667267
ABW,FP.CPI.TOTL.ZG,1985,4.03225805628628
ABW,FP.CPI.TOTL.ZG,1985,4.03225805628628
ABW,FP.CPI.TOTL.ZG,1986,1.07396640826829
ABW,FP.CPI.TOTL.ZG,1986,1.07396640826829
ABW,FP.CPI.TOTL.ZG,1987,3.64304545817706
ABW,FP.CPI.TOTL.ZG,1987,3.64304545817706
ABW,FP.CPI.TOTL.ZG,1988,3.12186849610723
ABW,FP.CPI.TOTL.ZG,1988,3.12186849610723
ABW,FP.CPI.TOTL.ZG,1989,3.99162804604575
ABW,FP.CPI.TOTL.ZG,1989,3.99162804604575
ABW,FP.CPI.TOTL.ZG,1990,5.83668775158166
ABW,FP.CPI.TOTL.ZG,1990,5.83668775158166
ABW,FP.CPI.TOTL.ZG,1991,5.55555555555579
ABW,FP.CPI.TOTL.ZG,1991,5.55555555555579
ABW,FP.CPI.TOTL.ZG,1992,3.8733753699648
ABW,FP.CPI.TOTL.ZG,1992,3.8733753699648
ABW,FP.CPI.TOTL.ZG,1993,5.2155599603571
ABW,FP.CPI.TOTL.ZG,1993,5.2155599603571
ABW,FP.CPI.TOTL.ZG,1994,6.3110797127044
ABW,FP.CPI.TOTL.ZG,1994,6.3110797127044
ABW,FP.CPI.TOTL.ZG,1995,3.36139107320899
ABW,FP.CPI.TOTL.ZG,1995,3.36139107320899
ABW,FP.CPI.TOTL.ZG,1996,3.22528797213979
ABW,FP.CPI.TOTL.ZG,1996,3.22528797213979
ABW,FP.CPI.TOTL.ZG,1997,2.99994809778412
ABW,FP.CPI.TOTL.ZG,1997,2.99994809778412
ABW,FP.CPI.TOTL.ZG,1998,1.86948853615541
ABW,FP.CPI.TOTL.ZG,1998,1.86948853615541
ABW,FP.CPI.TOTL.ZG,1999,2.28037198258753
ABW,FP.CPI.TOTL.ZG,1999,2.28037198258753
ABW,FP.CPI.TOTL.ZG,2000,4.04402131190513
ABW,FP.CPI.TOTL.ZG,2000,4.04402131190513
ABW,FP.CPI.TOTL.ZG,2001,2.88360430316264
ABW,FP.CPI.TOTL.ZG,2001,2.88360430316264
ABW,FP.CPI.TOTL.ZG,2002,3.31524678585423
ABW,FP.CPI.TOTL.ZG,2002,3.31524678585423
ABW,FP.CPI.TOTL.ZG,2003,3.65636507938418
